Station,Year,mean,min,max
FRA00109,2016,0.020100000000000003,0.02,0.0211
FRA00109,2017,0.02,0.02,0.02
FRA00109,2018,0.02,0.02,0.02
FRA00109,2019,0.02,0.02,0.02
FRA00109,2020,0.02,0.02,0.02
FRA00109,2021,0.02,0.02,0.02
FRA00110,2016,0.02,0.02,0.02
FRA00110,2017,0.02,0.02,0.02
FRA00110,2018,0.02020833333333333,0.02,0.0223
FRA00110,2019,0.02049166666666667,0.02,0.0259
FRA00110,2020,0.02,0.02,0.02
FRA00110,2021,0.02,0.02,0.02
FRA00111,2016,0.02,0.02,0.02
FRA00111,2017,0.02,0.02,0.02
FRA00111,2018,0.023333333333333334,0.02,0.04
FRA00111,2019,0.02,0.02,0.02
FRA00111,2020,0.02,0.02,0.02
FRA00111,2021,0.02,0.02,0.02
FRA00112,2016,0.02,0.02,0.02
FRA00112,2017,0.02,0.02,0.02
FRA00112,2018,0.02,0.02,0.02
FRA00112,2019,0.02,0.02,0.02
FRA00112,2020,0.02,0.02,0.02
FRA00112,2021,0.02,0.02,0.02
FRA00113,2016,0.025733333333333334,0.02,0.08
FRA00113,2017,0.02145,0.02,0.0302
FRA00113,2018,0.02420833333333333,0.02,0.0457
FRA00113,2019,0.024525,0.02,0.055
FRA00113,2020,0.022691666666666666,0.02,0.0343
FRA00113,2021,0.02650833333333333,0.02,0.0467
FRA00114,2016,0.02,0.02,0.02
FRA00114,2017,0.02,0.02,0.02
FRA00114,2018,0.02,0.02,0.02
FRA00114,2019,0.021608333333333337,0.02,0.0393
FRA00114,2020,0.02,0.02,0.02
FRA00114,2021,0.02,0.02,0.02
FRA00115,2016,0.02,0.02,0.02
FRA00115,2017,0.02,0.02,0.02
FRA00115,2018,0.02,0.02,0.02
FRA00115,2019,0.02,0.02,0.02
FRA00115,2020,0.02,0.02,0.02
FRA00115,2021,0.02,0.02,0.02
FRA00116,2016,0.02025,0.02,0.023
FRA00116,2017,0.02,0.02,0.02
FRA00116,2018,0.02,0.02,0.02
FRA00116,2019,0.02,0.02,0.02
FRA00116,2020,0.02,0.02,0.02
FRA00116,2021,0.02,0.02,0.02
FRA00117,2016,0.02,0.02,0.02
FRA00117,2017,0.02,0.02,0.02
FRA00117,2018,0.02,0.02,0.02
FRA00117,2019,0.021818181818181816,0.02,0.04
FRA00117,2020,0.02,0.02,0.02
FRA00117,2021,0.0202,0.02,0.0224
FRA00118,2016,0.02,0.02,0.02
FRA00118,2017,0.02,0.02,0.02
FRA00118,2018,0.02,0.02,0.02
FRA00118,2019,0.02,0.02,0.02
FRA00118,2020,0.02,0.02,0.02
FRA00118,2021,0.02,0.02,0.02
FRA00119,2016,0.02,0.02,0.02
FRA00119,2017,0.02,0.02,0.02
FRA00119,2018,0.021666666666666667,0.02,0.04
FRA00119,2019,0.02,0.02,0.02
FRA00119,2020,0.02,0.02,0.02
FRA00119,2021,0.02,0.02,0.02
FRA00120,2016,0.02,0.02,0.02
FRA00120,2017,0.02,0.02,0.02
FRA00120,2018,0.022,0.02,0.04
FRA00120,2019,0.02,0.02,0.02
FRA00120,2020,0.02,0.02,0.02
FRA00120,2021,0.02,0.02,0.02
FRA00121,2016,0.02,0.02,0.02
FRA00121,2017,0.0208,0.02,0.04
FRA00121,2018,0.020714285714285713,0.02,0.04
FRA00121,2019,0.02,0.02,0.02
FRA00121,2020,0.019321428571428573,0.001,0.02
FRA00121,2021,0.02,0.02,0.02
FRA00122,2016,0.02,0.02,0.02
FRA00122,2017,0.02,0.02,0.02
FRA00122,2018,0.02,0.02,0.02
FRA00122,2019,0.02,0.02,0.02
FRA00122,2020,0.02,0.02,0.02
FRA00122,2021,0.02,0.02,0.02
FRA00123,2016,0.02,0.02,0.02
FRA00123,2017,0.02,0.02,0.02
FRA00123,2018,0.02,0.02,0.02
FRA00123,2019,0.02,0.02,0.02
FRA00123,2020,0.02,0.02,0.02
FRA00123,2021,0.02,0.02,0.02
FRA00124,2016,0.02,0.02,0.02
